2021-06-12 13:20:09,880 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on abeker with PID 2340 (D:\Fakultet\BSEP2021\security-backend\target\classes started by a.beker in D:\Fakultet\BSEP2021\security-backend)
2021-06-12 13:20:09,883 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 13:20:14,106 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Started SecurityBackendApplication in 4.632 seconds (JVM running for 5.759)
2021-06-12 13:39:35,692 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on abeker with PID 8120 (D:\Fakultet\BSEP2021\security-backend\target\classes started by a.beker in D:\Fakultet\BSEP2021\security-backend)
2021-06-12 13:39:35,695 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 13:39:39,739 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Started SecurityBackendApplication in 4.443 seconds (JVM running for 5.574)
2021-06-12 22:23:24,076 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 16824 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:23:24,085 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:24:02,512 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 13560 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:24:02,529 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:25:27,870 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 15868 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:25:27,881 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:25:43,359 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Started SecurityBackendApplication in 16.577 seconds (JVM running for 18.071)
2021-06-12 22:29:41,256 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 2732 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:29:41,262 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:29:52,806 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Started SecurityBackendApplication in 12.661 seconds (JVM running for 14.649)
2021-06-12 22:35:13,796 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 9788 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:35:13,802 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:35:23,578 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Starting SecurityBackendApplication on DESKTOP-NK2PAMF with PID 18900 (C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend\target\classes started by Aleksandar Beker in C:\Users\Aleksandar Beker\Desktop\jovanabsep2\BSEP2021\security-backend)
2021-06-12 22:35:23,588 | INFO | org.springframework.boot.SpringApplication | [main] | No active profile set, falling back to default profiles: default
2021-06-12 22:35:44,247 | INFO | org.springframework.boot.StartupInfoLogger | [main] | Started SecurityBackendApplication in 21.913 seconds (JVM running for 23.936)
